tradition,slot,status,current_anchor,gap_candidate,priority
两河文学传统,创世与宇宙论,COVERED,埃努玛·埃利什,,
两河文学传统,英雄史诗与死亡,COVERED,吉尔伽美什史诗,,
两河文学传统,洪水与人神秩序,COVERED,阿特拉哈西斯史诗,,
两河文学传统,神祇爱情与仪式诗,COVERED,伊南娜相关文本,,
两河文学传统,智慧/争辩文学,COVERED,巴比伦神义论,,P1
两河文学传统,城市哀歌,COVERED,乌尔哀歌,,P1
古埃及文学传统,墓葬/来世文本,COVERED,金字塔铭文/棺椁铭文/埃及亡灵书,,
古埃及文学传统,中王国文学叙事,COVERED,辛努赫传,,
古埃及文学传统,奇异/航海故事,COVERED,船难水手的故事,,
古埃及文学传统,神话叙事,COVERED,荷鲁斯与塞特之争,,
古埃及文学传统,智慧/教诲文学,COVERED,普塔霍特普教谕,,P1
古埃及文学传统,社会修辞/申诉叙事,COVERED,能言善辩的农夫,,P1
黎凡特—迦南与乌加里特文学传统,神王与宇宙秩序,COVERED,巴力神话组诗,,
黎凡特—迦南与乌加里特文学传统,王权与家族叙事,COVERED,凯雷特史诗,,
黎凡特—迦南与乌加里特文学传统,英雄/继承/死亡叙事,COVERED,阿卡特史诗,,
黎凡特—迦南与乌加里特文学传统,仪式/祭祀文本,PARTIAL,三大文本群间接支撑,,P2
古希腊文学传统,史诗,COVERED,伊利亚特/奥德赛,,
古希腊文学传统,神谱/教诲诗,COVERED,神谱/工作与时日,,
古希腊文学传统,宗教赞歌,COVERED,荷马颂歌,,
古希腊文学传统,悲剧,COVERED,索福克勒斯/欧里庇得斯,,
古希腊文学传统,哲学对话,COVERED,理想国/会饮篇,,
古希腊文学传统,抒情诗,COVERED,萨福诗歌,,P1
古希腊文学传统,喜剧,COVERED,吕西斯特拉忒,,P1
古希腊文学传统,历史书写,COVERED,历史（希罗多德）,,P1
古希腊文学传统,希腊化文学,COVERED,阿尔戈船英雄纪,,P2
罗马与拉丁文学传统,国家史诗,COVERED,埃涅阿斯纪,,
罗马与拉丁文学传统,神话改写,COVERED,变形记,,
罗马与拉丁文学传统,爱情挽歌/教诲诗,COVERED,女英雄书简/爱的艺术,,
罗马与拉丁文学传统,抒情诗,COVERED,贺拉斯颂歌,,P1
罗马与拉丁文学传统,喜剧,COVERED,孪生兄弟,,P1
罗马与拉丁文学传统,罗马讽刺,COVERED,讽刺诗（尤维纳利斯）,,P2
罗马与拉丁文学传统,历史书写,COVERED,编年史（塔西佗）,,P1
罗马与拉丁文学传统,演说/修辞,COVERED,论演说家,,P2
罗马与拉丁文学传统,小说/散文虚构,COVERED,金驴记,,P1
希伯来—犹太文学传统,圣经叙事/律法,COVERED,创世记/出埃及记,,
希伯来—犹太文学传统,智慧/诗性文本,COVERED,约伯记,,
希伯来—犹太文学传统,末世/异象文学,COVERED,但以理书/以诺一书,,
希伯来—犹太文学传统,拉比/塔木德解释传统,COVERED,米示拿,,P1
希伯来—犹太文学传统,中古犹太哲学,COVERED,库萨里,,
希伯来—犹太文学传统,中古希伯来诗歌,COVERED,犹大·哈列维诗歌,,P2
希伯来—犹太文学传统,Haskalah/现代小说形成,COVERED,锡安之爱,,
希伯来—犹太文学传统,现代希伯来文学,COVERED,往事,,
阿拉伯文学传统,前伊斯兰诗歌,COVERED,悬诗,,
阿拉伯文学传统,古兰经语言/修辞/经典化,COVERED,古兰经,,P0
阿拉伯文学传统,翻译-adab/寓言散文,COVERED,卡里来和笛木乃,,
阿拉伯文学传统,maqama韵文散文,COVERED,哈里里玛卡梅集,,
阿拉伯文学传统,旅行文学,COVERED,伊本·白图泰游记,,
阿拉伯文学传统,民间/框架叙事,COVERED,一千零一夜,,
阿拉伯文学传统,Nahda/19世纪文学复兴,COVERED,一腿跨过一腿,,P1
阿拉伯文学传统,现代小说形成,COVERED,宰娜卜,,
阿拉伯文学传统,20世纪阿拉伯小说,COVERED,马哈福兹作品群,,
阿拉伯文学传统,巴勒斯坦/流亡文学,COVERED,卡纳法尼/哈比比,,
阿拉伯文学传统,当代威权/城市/石油现代性,COVERED,盐城/队列/Beirut Blues,,
波斯—伊朗文学传统,前伊斯兰宗教/宇宙论,COVERED,阿维斯塔/本达希申,,
波斯—伊朗文学传统,国家/英雄史诗,COVERED,列王纪,,
波斯—伊朗文学传统,鲁拜,COVERED,鲁拜集,,
波斯—伊朗文学传统,浪漫叙事诗,COVERED,莱拉和马吉农,,
波斯—伊朗文学传统,教诲诗/散文,COVERED,果园/蔷薇园,,
波斯—伊朗文学传统,苏菲长诗,COVERED,玛斯纳维/鸟的会议,,
波斯—伊朗文学传统,ghazal抒情顶峰,COVERED,哈菲兹诗集,,P0
波斯—伊朗文学传统,旅行书写,COVERED,Safarnama,,
波斯—伊朗文学传统,近代/现代诗歌转型,COVERED,传说（尼玛·尤希吉）,,P1
