file,id,title,title_original,author,author_original,year,axis_t,axis_r,r1_priority,r1_tradition,r1_role,canon_id,read_status,verification_status,source_refs
Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,1992,T6 当代全球文学,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,自动通过,战争书单.md:1624
Safarnama ／ 旅行记.md,WL-WORK-1370,Safarnama / 旅行记,Safarnama,纳赛尔·霍斯陆,Nasir Khusraw,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,,未读,自动通过,旅行书单.md:2008;旅行书单.md:287
一千零一夜.md,WL-WORK-0558,一千零一夜,,佚名,中的,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,CANON-015,未读,自动通过,冒险书单.md:122;冒险书单.md:244;奇幻书单.md:112;奇幻书单.md:1160;奇幻书单.md:1852;恐怖书单.md:82
以诺一书.md,WL-WORK-1399,以诺一书,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,神话书单.md:186
伊利亚特.md,WL-WORK-0581,伊利亚特,,荷马,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-002,未读,自动通过,奇幻书单.md:1094;奇幻书单.md:1734;历史书单.md:103;历史书单.md:1508;历史书单.md:1567;神话书单.md:1361;神话书单.md:1424;神话书单.md:315;神话书单.md:389;战争书单.md:1777;战争书单.md:181;战争书单.md:2286;战争书单.md:88
伊南娜下降冥界.md,WL-WORK-1401,伊南娜下降冥界,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:109;神话书单.md:1351
伊南娜与杜穆兹.md,WL-WORK-1402,伊南娜与杜穆兹,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,两河文学传统,,,未读,自动通过,神话书单.md:119
伊本·白图泰游记.md,WL-WORK-T1-RIHLA,伊本·白图泰游记,Rihla,伊本·白图泰,Ibn Battuta,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,人工核验,旅行书单.md:2009;旅行书单.md:2010;旅行书单.md:2130;旅行书单.md:293;旅行书单.md:308
会饮篇.md,WL-WORK-2017,会饮篇,,柏拉图,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,,未读,自动通过,爱情书单.md:155;爱情书单.md:1764
但以理书.md,WL-WORK-1404,但以理书,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,神话书单.md:181
俄狄浦斯王.md,WL-WORK-1408,俄狄浦斯王,,索福克勒斯,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,古希腊文学传统,,CANON-005,未读,自动通过,神话书单.md:1366;神话书单.md:363
凯雷特史诗.md,WL-WORK-1413,凯雷特史诗,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,黎凡特—迦南与乌加里特文学传统,,,未读,自动通过,神话书单.md:145
出埃及记.md,WL-WORK-1414,出埃及记,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,神话书单.md:169
列王纪.md,WL-WORK-1416,列王纪,Shahnameh,菲尔多西,,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,波斯—伊朗文学传统,,CANON-014,未读,自动通过,神话书单.md:1354;神话书单.md:248;神话书单.md:250;战争书单.md:243
创世记.md,WL-WORK-1004,创世记,,佚名,,,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,希伯来—犹太文学传统,,,未读,自动通过,家族书单.md:132;家族书单.md:218;神话书单.md:1036;神话书单.md:1352;神话书单.md:161
卡里来和笛木乃.md,WL-WORK-T1-KALILA,卡里来和笛木乃,Kalīla wa-Dimna,伊本·穆格法,Ibn al-Muqaffaʿ,,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,阿拉伯文学传统,,,未读,需复核,
