file,id,title,author,year,axis_t,r2_priority,r2_tradition,r2_role
1988：我想和这个世界谈谈.md,WL-WORK-2667,1988：我想和这个世界谈谈,韩寒,,T6 当代全球文学,,,
1Q84.md,WL-WORK-2668,1Q84,村上春树,,T6 当代全球文学,,,
64.md,WL-WORK-0174,64,横山秀夫,,T6 当代全球文学,,,
82年生的金智英.md,WL-WORK-2669,82年生的金智英,赵南柱,,T6 当代全球文学,,,
All You Need Is Kill.md,WL-WORK-0418,All You Need Is Kill,樱坂洋,,T6 当代全球文学,,,
Always Only You.md,WL-WORK-1939,Always Only You,克洛伊·利泽,2020,T6 当代全球文学,,,
Audition.md,WL-WORK-0493,Audition,村上龙,,T6 当代全球文学,,,
Dragon Raja.md,WL-WORK-0498,Dragon Raja,李英道,,T6 当代全球文学,,,
D坂杀人事件.md,WL-WORK-0147,D坂杀人事件,江户川乱步,,T4 全球现代主义时代,,,
I'm Waiting for You and Other Stories.md,WL-WORK-0480,I'm Waiting for You and Other Stories,金宝英,,,,,
In the Miso Soup.md,WL-WORK-0504,In the Miso Soup,村上龙,,T6 当代全球文学,,,
invert 城塚翡翠倒叙集.md,WL-WORK-0209,invert 城塚翡翠倒叙集,相泽沙呼,,T6 当代全球文学,,,
medium 灵媒侦探城塚翡翠.md,WL-WORK-0208,medium 灵媒侦探城塚翡翠,相泽沙呼,,T6 当代全球文学,,,
No-No Boy.md,WL-WORK-0937,No-No Boy,约翰·冈田,,,,,
OUT.md,WL-WORK-0172,OUT,桐野夏生,,T6 当代全球文学,,,
Sabu.md,WL-WORK-2334,Sabu,山本周五郎,,T5 二战后多极文学,,,
This One Summer.md,WL-WORK-0954,This One Summer,玉木真理子 / 吉莉安·玉木,,,,,
一个背叛日本的日本人.md,WL-WORK-0164,一个背叛日本的日本人,松本清张,,T5 二战后多极文学,,,
一九八六年.md,WL-WORK-2786,一九八六年,余华,1987,T6 当代全球文学,,,
一句顶一万句.md,WL-WORK-2736,一句顶一万句,刘震云,,T6 当代全球文学,,,
一百个人的十年.md,WL-WORK-2005,一百个人的十年,冯骥才,,T6 当代全球文学,,,
七侠五义.md,WL-WORK-2436,七侠五义,石玉昆,,T3 19世纪现代文学体系,,,
七剑下天山.md,WL-WORK-2437,七剑下天山,梁羽生,,T5 二战后多极文学,,,
七回死去的男人.md,WL-WORK-0192,七回死去的男人,西泽保彦,,T6 当代全球文学,,,
七夜雪.md,WL-WORK-2438,七夜雪,沧月,,T6 当代全球文学,,,
七杀碑.md,WL-WORK-2439,七杀碑,朱贞木,,,,,
七种武器.md,WL-WORK-2440,七种武器,古龙,,T5 二战后多极文学,,,
万叶集.md,WL-WORK-3179,万叶集,多人,read_status: 未读,T1 中古多中心文学世界,,,
万延元年的足球队.md,WL-WORK-1550,万延元年的足球队,大江健三郎,,T5 二战后多极文学,,,
三体.md,WL-WORK-0462,三体,刘慈欣,,T6 当代全球文学,,,
三侠五义.md,WL-WORK-2441,三侠五义,石玉昆,,T3 19世纪现代文学体系,,,
三匹蟹.md,WL-WORK-1553,三匹蟹,大庭美奈子,,T5 二战后多极文学,,,
三四郎.md,WL-WORK-0964,三四郎,夏目漱石,,T4 全球现代主义时代,,,
三国演义.md,WL-WORK-0965,三国演义,罗贯中,,T2 早期现代文学,,,
三国遗事.md,WL-WORK-1391,三国遗事,一然,,T1 中古多中心文学世界,,,
三生三世十里桃花.md,WL-WORK-2745,三生三世十里桃花,唐七公子,,T6 当代全球文学,,,
三里湾.md,WL-WORK-1556,三里湾,赵树理,,T5 二战后多极文学,,,
上海.md,WL-WORK-1557,上海,横光利一,,T4 全球现代主义时代,,,
不会笑的数学家.md,WL-WORK-0189,不会笑的数学家,森博嗣,,T6 当代全球文学,,,
世事如烟.md,WL-WORK-2790,世事如烟,余华,1988,T6 当代全球文学,,,
东方.md,WL-WORK-2856,东方,魏巍,read_status: 未读,T5 二战后多极文学,,,
东藏记.md,WL-WORK-2874,东藏记,宗璞,read_status: 未读,T6 当代全球文学,,,
两地书.md,WL-WORK-2699,两地书,鲁迅,,T4 全球现代主义时代,,,
个人的体验.md,WL-WORK-1564,个人的体验,大江健三郎,,T5 二战后多极文学,,,
中国神话传说.md,WL-WORK-1394,中国神话传说,袁珂,,T5 二战后多极文学,,,
中国神话史.md,WL-WORK-1395,中国神话史,袁珂,,T6 当代全球文学,,,
丰乳肥臀.md,WL-WORK-0971,丰乳肥臀,莫言,,T6 当代全球文学,,,
丰饶之海.md,WL-WORK-1565,丰饶之海,三岛由纪夫,,T5 二战后多极文学,,,
临界·爵迹.md,WL-WORK-2749,临界·爵迹,郭敬明,,T6 当代全球文学,,,
为了赖子.md,WL-WORK-0186,为了赖子,法月纶太郎,,,,,
主角.md,WL-WORK-2889,主角,陈彦,read_status: 未读,T6 当代全球文学,,,
义经记.md,WL-WORK-2443,义经记,佚名,,,,,
九云梦.md,WL-WORK-2820,九云梦,金万重,read_status: 未读,T2 早期现代文学,,,
九州·缥缈录.md,WL-WORK-0574,九州·缥缈录,江南,,T6 当代全球文学,,,
书剑恩仇录.md,WL-WORK-2444,书剑恩仇录,金庸,,T5 二战后多极文学,,,
乾隆皇帝.md,WL-WORK-0974,乾隆皇帝,二月河,,T6 当代全球文学,,,
二月.md,WL-WORK-2684,二月,柔石,,T4 全球现代主义时代,,,
二钱铜币.md,WL-WORK-0146,二钱铜币,江户川乱步,,T4 全球现代主义时代,,,
云海玉弓缘.md,WL-WORK-2445,云海玉弓缘,梁羽生,,T5 二战后多极文学,,,
五轮书.md,WL-WORK-2447,五轮书,宫本武藏,,,,,
人世间.md,WL-WORK-2887,人世间,梁晓声,read_status: 未读,T6 当代全球文学,,,
人性的证明.md,WL-WORK-0166,人性的证明,森村诚一,,T5 二战后多极文学,,,
人格转移杀人.md,WL-WORK-0193,人格转移杀人,西泽保彦,,T6 当代全球文学,,,
人生海海.md,WL-WORK-2716,人生海海,麦家,,T6 当代全球文学,,,
人间失格.md,WL-WORK-0978,人间失格,太宰治,,T5 二战后多极文学,,,
人间椅子.md,WL-WORK-0579,人间椅子,江户川乱步,,T4 全球现代主义时代,,,
人间豹.md,WL-WORK-0580,人间豹,江户川乱步,,T4 全球现代主义时代,,,
人面桃花.md,WL-WORK-0980,人面桃花,格非,,T6 当代全球文学,,,
今天也没变成玩偶呢.md,WL-WORK-2750,今天也没变成玩偶呢,花花了,,T6 当代全球文学,,,
今昔物语集.md,WL-WORK-1398,今昔物语集,佚名,,T1 中古多中心文学世界,,,
他人的脸.md,WL-WORK-1580,他人的脸,安部公房,,T5 二战后多极文学,,,
伊豆的舞女.md,WL-WORK-2014,伊豆的舞女,川端康成,,T4 全球现代主义时代,,,
体育馆之谜.md,WL-WORK-0203,体育馆之谜,青崎有吾,,T6 当代全球文学,,,
何以笙箫默.md,WL-WORK-2018,何以笙箫默,顾漫,,T6 当代全球文学,,,
你在高原.md,WL-WORK-2878,你在高原,张炜,read_status: 未读,T6 当代全球文学,,,
侠客行.md,WL-WORK-2449,侠客行,金庸,,T5 二战后多极文学,,,
俗世奇人.md,WL-WORK-2720,俗世奇人,冯骥才,,T6 当代全球文学,,,
俘虏记.md,WL-WORK-1589,俘虏记,大冈升平,,T5 二战后多极文学,,,
保元物语.md,WL-WORK-0988,保元物语,佚名,,,,,
倚天屠龙记.md,WL-WORK-2450,倚天屠龙记,金庸,,T5 二战后多极文学,,,
倾城之恋.md,WL-WORK-1590,倾城之恋,张爱玲,,T4 全球现代主义时代,,,
假名手本忠臣藏.md,WL-WORK-2451,假名手本忠臣藏,四十七浪人,,,,,
假面的告白.md,WL-WORK-0990,假面的告白,三岛由纪夫,,T5 二战后多极文学,,,
偷拳.md,WL-WORK-2452,偷拳,白羽,,,,,
像少年啦飞驰.md,WL-WORK-2730,像少年啦飞驰,韩寒,,T6 当代全球文学,,,
儒林外史.md,WL-WORK-2815,儒林外史,吴敬梓,,T2 早期现代文学,,,
儿女英雄传.md,WL-WORK-2453,儿女英雄传,文康,,,,,
儿子的大玩偶.md,WL-WORK-1591,儿子的大玩偶,黄春明,,T5 二战后多极文学,,,
元年春之祭.md,WL-WORK-0249,元年春之祭,陆秋槎,,T6 当代全球文学,,,
兄弟.md,WL-WORK-2772,兄弟,余华,2005,T6 当代全球文学,,,
全部成为F.md,WL-WORK-0188,全部成为F,森博嗣,,T6 当代全球文学,,,
全面混乱.md,WL-WORK-0240,全面混乱,让-克洛德·伊佐,,,,,
八墓村.md,WL-WORK-0154,八墓村,横沟正史,,T5 二战后多极文学,,,
