file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
A General History of the Pyrates.md,A General History of the Pyrates,查尔斯·约翰逊船长,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2152
A New Voyage Round the World.md,A New Voyage Round the World,威廉·丹皮尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0490
Anton Reiser.md,Anton Reiser,卡尔·菲利普·莫里茨,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0915
Captain Singleton.md,Captain Singleton,丹尼尔·笛福,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2182
Harvest Home.md,Harvest Home,托马斯·特赖恩,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0502
Kumulipo.md,Kumulipo,佚名,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1358
"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md","Letters Written during a Short Residence in Sweden, Norway, and Denmark",玛丽·沃斯通克拉夫特,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1360
Moll Flanders.md,Moll Flanders,丹尼尔·笛福,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2285
Naufragios.md,Naufragios,卡贝萨·德·巴卡,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0515
The Adventures of Col. Daniel Boone.md,The Adventures of Col. Daniel Boone,约翰·菲尔森,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2355
The Principal Navigations.md,The Principal Navigations...,理查德·哈克卢特,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1379
Travels through France and Italy.md,Travels through France and Italy,斯摩莱特,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1386
七日谈.md,七日谈,玛格丽特·德·纳瓦尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-M1-17057873
三国演义.md,三国演义,罗贯中,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-0965
两扇门的房子不好守.md,两扇门的房子不好守,卡尔德隆,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2442
乌多尔弗的秘密.md,乌多尔弗的秘密,安·拉德克利夫,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0570
乌托邦.md,乌托邦,托马斯·莫尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0257
九云梦.md,九云梦,金万重,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2820
人物志.md,人物志,让·德·拉布吕耶尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-M1-51034912
人生如梦.md,人生如梦,佩德罗·卡尔德隆·德·拉·巴尔卡,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,structural_backfill_v1,WL-WORK-R4-人生如梦
仙后.md,仙后,埃德蒙·斯宾塞,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-M1-76541979
仲夏夜之梦.md,仲夏夜之梦,莎士比亚,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2010
伪君子.md,伪君子,莫里哀,1664,T2,T2 早期现代文学,T2,PASS,按 year 与正式 T 轴范围一致,手工核验,WL-WORK-2830
保尔和维吉妮.md,保尔和维吉妮,雅克-亨利·贝尔纳丹·德·圣皮埃尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,手工核验,WL-WORK-M1-51815892
