file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
1914 and Other Poems.md,1914 and Other Poems,鲁珀特·布鲁克,,T4,T4 全球现代主义时代,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1931
1984.md,1984,乔治·奥威尔,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0488
1988：我想和这个世界谈谈.md,1988：我想和这个世界谈谈,韩寒,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2667
1Q84.md,1Q84,村上春树,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2668
2001：太空漫游.md,2001：太空漫游,阿瑟·克拉克,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0309
2312.md,2312,金·斯坦利·罗宾逊,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2951
24个比利.md,24个比利,丹尼尔·凯斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2765
2666.md,2666,波拉尼奥,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1522
64.md,64,横山秀夫,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0174
82年生的金智英.md,82年生的金智英,赵南柱,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,个人补录,WL-WORK-2669
A Boy's Own Story.md,A Boy's Own Story,埃德蒙·怀特,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0913
A Court of Thorns and Roses.md,A Court of Thorns and Roses,萨拉·J.马斯,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1933
A General History of the Pyrates.md,A General History of the Pyrates,查尔斯·约翰逊船长,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2152
A Lady's Life in the Rocky Mountains.md,A Lady's Life in the Rocky Mountains,伊莎贝拉·伯德,,T3,T3 19世纪现代文学体系,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1342
A Long Way Gone.md,A Long Way Gone,伊斯梅尔·比亚,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1935
A Man Called Horse.md,A Man Called Horse,多萝西·M.约翰逊,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2156
A New Voyage Round the World.md,A New Voyage Round the World,威廉·丹皮尔,,T2,T2 早期现代文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0490
A Time of Gifts.md,A Time of Gifts,帕特里克·利·弗莫尔,,T5,T5 二战后多极文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1344
A Tour on the Prairies.md,A Tour on the Prairies,华盛顿·欧文,,T3,T3 19世纪现代文学体系,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2157
A Woman's Journey Round the World.md,A Woman's Journey Round the World,伊达·普费弗尔,,T3,T3 19世纪现代文学体系,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1345
ABC谋杀案.md,ABC谋杀案,阿加莎·克里斯蒂,,T4,T4 全球现代主义时代,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0025
Across the Black Waters.md,Across the Black Waters,穆尔克·拉吉·安纳德,,T4,T4 全球现代主义时代,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-1938
All You Need Is Kill.md,All You Need Is Kill,樱坂洋,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0418
Allan Quatermain.md,Allan Quatermain,哈格德,,T3,T3 19世纪现代文学体系,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-0492
Almanac of the Dead.md,Almanac of the Dead,莱斯利·马蒙·西尔科,,T6,T6 当代全球文学,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,自动通过,WL-WORK-2159
