n,file,title,author,current_t
1,1492：对他者的遮蔽.md,1492：对他者的遮蔽,恩里克·杜塞尔,T5
2,1984.md,1984,乔治·奥威尔,T5
3,2001：太空漫游.md,2001：太空漫游,阿瑟·克拉克,T5
4,A Man Called Horse.md,A Man Called Horse,多萝西·M.约翰逊,T5
5,A Rumor of War.md,A Rumor of War,菲利普·卡普托,T5
6,A Time of Gifts.md,A Time of Gifts,帕特里克·利·弗莫尔,T5
7,America Is in the Heart.md,America Is in the Heart,卡洛斯·布洛桑,T5
8,An Area of Darkness.md,An Area of Darkness,V.S.奈保尔,T5
9,Arabella.md,Arabella,乔吉特·海耶,T5
10,Arabian Sands.md,Arabian Sands,威尔弗雷德·塞西格,T5
11,Auschwitz and After.md,Auschwitz and After,夏洛特·德尔博,T5
12,Bandits.md,Bandits,艾瑞克·霍布斯鲍姆,T5
13,"Bless Me, Ultima.md","Bless Me, Ultima",鲁道夫·阿纳亚,T5
14,Buffalo Wagons.md,Buffalo Wagons,埃尔默·凯尔顿,T5
15,Burnt Offerings.md,Burnt Offerings,罗伯特·马拉斯科,T5
16,Butcher's Crossing.md,Butcher's Crossing,约翰·威廉斯,T5
17,Ceremony.md,Ceremony,莱斯利·马蒙·西尔科,T5
18,Chemmeen.md,Chemmeen,Thakazhi Sivasankara Pillai,T5
19,Cotillion.md,Cotillion,乔吉特·海耶,T5
20,"Crick Crack, Monkey.md","Crick Crack, Monkey",默尔·霍奇,T5
21,Dance Hall of the Dead.md,Dance Hall of the Dead,托尼·希勒曼,T5
22,Desert Solitaire.md,Desert Solitaire,爱德华·艾比,T5
23,Dispatches.md,Dispatches,迈克尔·赫尔,T5
24,El escritor argentino y la tradición.md,El escritor argentino y la tradición,博尔赫斯,T5
25,El muerto.md,El muerto,博尔赫斯,T5
26,Facial Justice.md,Facial Justice,L.P.哈特利,T5
27,Flint.md,Flint,路易斯·拉穆尔,T5
28,Forfeit.md,Forfeit,迪克·弗朗西斯,T5
29,From a Crooked Rib.md,From a Crooked Rib,努鲁丁·法拉赫,T5
30,G.H.受难记.md,G.H.受难记,克拉丽丝·利斯佩克托,T5
31,G.（伯杰）.md,G.,约翰·伯杰,T5
32,Girls at War.md,Girls at War,钦努阿·阿契贝,T5
33,Grande Sertão／ Veredas.md,Grande Sertão: Veredas,吉马朗埃斯·罗萨,T5
34,Holiday.md,Holiday,斯坦利·米德尔顿,T5
35,Hondo.md,Hondo,路易斯·拉穆尔,T5
36,Hopscotch.md,Hopscotch,布赖恩·加菲尔德,T5
37,"Horseman, Pass By.md","Horseman, Pass By",拉里·麦克默特里,T5
38,House Made of Dawn.md,House Made of Dawn,N.斯科特·莫马迪,T5
39,In Patagonia.md,In Patagonia,布鲁斯·查特文,T5
40,In the Castle of My Skin.md,In the Castle of My Skin,乔治·拉明,T5
41,India／ A Wounded Civilization.md,India: A Wounded Civilization,V.S.奈保尔,T5
42,La noche de los dones.md,La noche de los dones,博尔赫斯,T5
43,Leaving Cheyenne.md,Leaving Cheyenne,拉里·麦克默特里,T5
44,Monte Walsh.md,Monte Walsh,杰克·谢弗,T5
45,Nine Coaches Waiting.md,Nine Coaches Waiting,玛丽·斯图尔特,T5
46,Offshore.md,Offshore,佩内洛普·菲茨杰拉德,T5
47,Ozidi Saga.md,Ozidi Saga,佚名,T5
48,Pinjar.md,Pinjar,阿姆丽塔·普里塔姆,T5
49,Primitive Rebels.md,Primitive Rebels,艾瑞克·霍布斯鲍姆,T5
50,Promised Land.md,Promised Land,罗伯特·B·帕克,T5
51,Room to Swing.md,Room to Swing,埃德·莱西,T5
52,Sabu.md,Sabu,山本周五郎,T5
53,Samskara.md,Samskara,U. R. Ananthamurthy,T5
54,Tadeo Isidoro Cruz小传.md,Tadeo Isidoro Cruz小传,博尔赫斯,T5
55,Tamas.md,Tamas,比沙姆·萨赫尼,T5
56,The Acts of King Arthur and His Noble Knights.md,The Acts of King Arthur and His Noble Knights,约翰·斯坦贝克,T5
57,The Arrivants.md,The Arrivants,卡莫·布拉思韦特,T5
58,The Chant of Jimmie Blacksmith.md,The Chant of Jimmie Blacksmith,托马斯·基尼利,T5
59,The Collected Works of Billy the Kid.md,The Collected Works of Billy the Kid,迈克尔·翁达杰,T5
60,The Crystal Cave.md,The Crystal Cave,玛丽·斯图尔特,T5
61,The Daybreakers.md,The Daybreakers,路易斯·拉穆尔,T5
62,The Eighth Circle.md,The Eighth Circle,斯坦利·埃林,T5
63,The Hollow Hills.md,The Hollow Hills,玛丽·斯图尔特,T5
64,The Last Enchantment.md,The Last Enchantment,玛丽·斯图尔特,T5
