file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
1914 and Other Poems.md,1914 and Other Poems,鲁珀特·布鲁克,T4,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1931
1984.md,1984,乔治·奥威尔,T5,,CANON-142,1949,T5,PASS,HIGH,CANON-142 首次成书_出版时间=1949,自动通过,WL-WORK-0488
1988：我想和这个世界谈谈.md,1988：我想和这个世界谈谈,韩寒,T6,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2667
1Q84.md,1Q84,村上春树,T6,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2668
2001：太空漫游.md,2001：太空漫游,阿瑟·克拉克,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0309
2312.md,2312,金·斯坦利·罗宾逊,T6,,,,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-2951
24个比利.md,24个比利,丹尼尔·凯斯,T6,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2765
2666.md,2666,波拉尼奥,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1522
64.md,64,横山秀夫,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0174
82年生的金智英.md,82年生的金智英,赵南柱,T6,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2669
A Boy's Own Story.md,A Boy's Own Story,埃德蒙·怀特,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0913
A Court of Thorns and Roses.md,A Court of Thorns and Roses,萨拉·J.马斯,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1933
A General History of the Pyrates.md,A General History of the Pyrates,查尔斯·约翰逊船长,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2152
A Head Full of Ghosts.md,A Head Full of Ghosts,保罗·特朗布莱,T6,2015,,,T6,PASS,HIGH,note.year=2015,自动通过,WL-WORK-0489
A Hunger Like No Other.md,A Hunger Like No Other,克雷斯莉·科尔,T6,2006,,,T6,PASS,HIGH,note.year=2006,自动通过,WL-WORK-1934
A Lady's Life in the Rocky Mountains.md,A Lady's Life in the Rocky Mountains,伊莎贝拉·伯德,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1342
A Long Way Gone.md,A Long Way Gone,伊斯梅尔·比亚,T6,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1935
A Man Called Horse.md,A Man Called Horse,多萝西·M.约翰逊,T5,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2156
A New Voyage Round the World.md,A New Voyage Round the World,威廉·丹皮尔,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0490
