file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
三国演义.md,三国演义,罗贯中,T2,,CANON-030,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-030 首次成书_出版时间=14世纪,手工核验,WL-WORK-0965
失乐园.md,失乐园,渡边淳一,T6,,CANON-075,1667,T2,MOVE_CANDIDATE,HIGH,CANON-075 首次成书_出版时间=1667,手工核验,WL-WORK-2049
希腊人佐巴.md,希腊人佐巴,尼科斯·卡赞扎基斯,T4,,CANON-187,1946,T5,MOVE_CANDIDATE,HIGH,CANON-187 首次成书_出版时间=1946,需复核,WL-WORK-2850
开罗三部曲.md,开罗三部曲,纳吉布·马哈福兹,T4,,CANON-191,1956—1957,T5,MOVE_CANDIDATE,HIGH,CANON-191 首次成书_出版时间=1956—1957,需复核,WL-WORK-2852
春香传.md,春香传,佚名,T2,,CANON-059,约18—19世纪,T3,MOVE_CANDIDATE,HIGH,CANON-059 首次成书_出版时间=约18—19世纪,需复核,WL-WORK-2819
水浒传.md,水浒传,施耐庵,T2,,CANON-031,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-031 首次成书_出版时间=14世纪,手工核验,WL-WORK-1175
浮士德.md,浮士德,歌德,T2,,CANON-087,1808/1832,T3,MOVE_CANDIDATE,HIGH,CANON-087 首次成书_出版时间=1808/1832,需复核,WL-WORK-2834
脚镯记.md,脚镯记,伊兰戈·阿迪伽尔（传统归属）,T0,,CANON-226,约5—6世纪,T1,MOVE_CANDIDATE,HIGH,CANON-226 首次成书_出版时间=约5—6世纪,需复核,WL-WORK-3175
贝奥武夫.md,贝奥武夫,佚名,T0,,CANON-019,约8—11世纪,T1,MOVE_CANDIDATE,HIGH,CANON-019 首次成书_出版时间=约8—11世纪,自动通过,WL-WORK-0843
通往北方的窄路.md,通往北方的窄路,理查德·弗拉纳根,T6,,CANON-050,1702,T2,MOVE_CANDIDATE,HIGH,CANON-050 首次成书_出版时间=1702,需复核,WL-WORK-3071
