file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,1977,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,1971,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,1942,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,1907,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,1972,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,1925,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,1973,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,1960,T5 战后文学,,T5 战后文学,INVALID_T_LABEL,T5,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1910,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1914,T4 现代主义前夜与现代主义文学,,T4 现代主义前夜与现代主义文学,INVALID_T_LABEL,T4,,axis_t 非空但不匹配正式 T0–T6 标签,自动通过,metadata_pending,
