file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Gest of Robyn Hode.md,WL-WORK-2154,A Gest of Robyn Hode,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,,多萝西·M.约翰逊,Dorothy M. Johnson,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
