tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics
P2_EXTERNAL_MATCH_FRIENDLY,1914 and Other Poems.md,WL-WORK-1931,1914 and Other Poems,,鲁珀特·布鲁克,Rupert Brooke,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,A General History of the Pyrates.md,WL-WORK-2152,A General History of the Pyrates,,查尔斯·约翰逊船长,Captain Charles Johnson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
S_SPECIAL_TEXT,A Gest of Robyn Hode.md,WL-WORK-2154,A Gest of Robyn Hode,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,A Long Way Gone.md,WL-WORK-1935,A Long Way Gone,,伊斯梅尔·比亚,Ishmael Beah,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,,多萝西·M.约翰逊,Dorothy M. Johnson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,A New Voyage Round the World.md,WL-WORK-0490,A New Voyage Round the World,,威廉·丹皮尔,William Dampier,,,batch1_source_refs;batch6_source_refs,WL-TOPIC-G45-ADVENTURE;WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,A Time of Gifts.md,WL-WORK-1344,A Time of Gifts,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,A Woman's Journey Round the World.md,WL-WORK-1345,A Woman's Journey Round the World,,伊达·普费弗尔,Ida Pfeiffer,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
S_SPECIAL_TEXT,"Adam Bell, Clim of the Clough and William of Cloudesley.md",WL-WORK-2158,"Adam Bell, Clim of the Clough and William of Cloudesley",,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Afsaneh ／ 传说.md,WL-WORK-1523,Afsaneh / 传说,,尼玛·尤什吉,Nima Yushij,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,,万达娜·辛格,Vandana Singh,,,,WL-TOPIC-G45-SF
