tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,1914 and Other Poems.md,WL-WORK-1931,1914 and Other Poems,,鲁珀特·布鲁克,Rupert Brooke,,,CANDIDATE,1916,T4,HIGH,1914 and other poems,Rupert Brooke,/works/OL42504199W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,CANDIDATE,1982,T6,HIGH,A boy's own story,Edmund White,/works/OL119209W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A General History of the Pyrates.md,WL-WORK-2152,A General History of the Pyrates,,查尔斯·约翰逊船长,Captain Charles Johnson,,,CANDIDATE,1925,T4,HIGH,A General History of the Pyrates,Captain Charles Johnson;Daniel Defoe;Nathaniel Mist;Woodes Rogers;John Atkins;Philip Gosse,/works/OL24476788W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,,CANDIDATE,2011,T6,HIGH,"A Hunger Like No Other, 2",Kresley Cole;Robert Petkoff,/works/OL25313101W,0.973,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,CANDIDATE,1879,T3,HIGH,A lady's life in the Rocky Mountains,Isabella L. Bird,/works/OL1077887W,1.000,0.960,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Long Way Gone.md,WL-WORK-1935,A Long Way Gone,,伊斯梅尔·比亚,Ishmael Beah,,,CANDIDATE,2007,T6,HIGH,A Long Way Gone,Ishmael Beah,/works/OL8034119W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A New Voyage Round the World.md,WL-WORK-0490,A New Voyage Round the World,,威廉·丹皮尔,William Dampier,,,CANDIDATE,1697,T2,HIGH,A New Voyage Round the World,William Dampier;Nicholas Thomas,/works/OL4570671W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,CANDIDATE,2018,T6,HIGH,A princess in theory,Alyssa cole,/works/OL19737100W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,CANDIDATE,1977,T5,HIGH,A rumor of war,Philip Caputo,/works/OL82000W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,,CANDIDATE,1988,T6,HIGH,A small place,Jamaica Kincaid;Robin Miles,/works/OL2664685W,1.000,1.000,Open Library first_publish_year candidate
