tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,CANDIDATE,1893,T4,MEDIUM,A gentleman of France,Stanley John Weymann,/works/OL6697779W,1.000,0.839,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,,CANDIDATE,2015,T6,LOW,A Head Full of Ghosts: A Novel,Paul Tremblay,/works/OL18820928W,0.850,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,,CANDIDATE,2005,T6,LOW,A knight's own book of chivalry : Geoffroi De Charny,Geoffroi de Charny,/works/OL5844535W,0.758,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,,多萝西·M.约翰逊,Dorothy M. Johnson,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,,CANDIDATE,2017,T6,LOW,Agents of Dreamland,Caitlín R. Kiernan,/works/OL19577436W,1.000,0.636,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,CANDIDATE,1992,T6,MEDIUM,Almanac of the Dead,Leslie Silko,/works/OL7972955W,1.000,0.786,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,,万达娜·辛格,Vandana Singh,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,,CANDIDATE,1997,T6,LOW,American Indian Myths and Legends,Richard Erdoes;Alfonso Ortiz,/works/OL20993081W,1.000,0.684,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,,CANDIDATE,2001,T6,LOW,An African in Greenland,"Tete-Michel Kpomassie;Alvarez, A.",/works/OL23743093W,1.000,0.643,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,"Astucia, el jefe de los Hermanos de la Hoja.md",WL-WORK-2164,"Astucia, el jefe de los Hermanos de la Hoja",Astucia,路易斯·G.因克兰,Luis G. Inclán,,,CANDIDATE,1908,T4,MEDIUM,Astucia,Luis Gonzaga Inclán,/works/OL6129409W,1.000,0.786,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,CANDIDATE,1907,T4,MEDIUM,Bar-20,Clarence Edward Mulford;Robert Banis,/works/OL3194212W,1.000,0.865,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,,CANDIDATE,1950,T5,LOW,Cielitos  por Bartolomé Hidalgo,Bartolomé Hidalgo,/works/OL4828828W,0.457,0.609,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Cockfight.md,WL-WORK-0496,Cockfight,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Cogewea.md,WL-WORK-2187,Cogewea,,哀鸽,Mourning Dove,,,CANDIDATE,1927,T4,LOW,"Co-ge-we-a, the half blood",Mourning Dove,/works/OL4782293W,0.538,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,,马克斯·布兰德,Max Brand,,,CANDIDATE,1930,T4,LOW,Destry Rides Again,Frederick Faust,/works/OL26897W,1.000,0.091,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,,巴托洛梅·伊达尔戈,Hidalgo,,,CANDIDATE,1963,T5,LOW,Cielitos y diálogos patrióticos,Bartolomé Hidalgo,/works/OL4828833W,0.809,0.609,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Don Segundo Sombra.md,WL-WORK-2202,Don Segundo Sombra,,里卡多·吉拉尔德斯,Güiraldes,,,CANDIDATE,1900,T4,LOW,Don Segundo Sombra,Ricardo Güiraldes,/works/OL2100605W,1.000,0.720,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El gaucho Martín Fierro.md,WL-WORK-2205,El gaucho Martín Fierro,,何塞·埃尔南德斯,Hernández,,,CANDIDATE,1894,T4,MEDIUM,El gaucho Martin Fierro,José Hernández,/works/OL10342228W,1.000,0.818,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,,法里尼亚,Fariña,,,CANDIDATE,2011,T6,LOW,El guacho Martín Fierro,Oscar Fariña,/works/OL43999325W,1.000,0.706,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,,贝尼托·林奇,Lynch,,,CANDIDATE,1924,T4,LOW,El inglés de los güesos,Benito Lynch,/works/OL91080W,1.000,0.625,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El Martín Fierro.md,WL-WORK-2208,El Martín Fierro,,博尔赫斯 / 玛格丽塔·格雷罗,Borges / Margarita Guerrero,,,CANDIDATE,1953,T5,MEDIUM,El Martin Fierro,Jorge Luis Borges;Margarita Guerrero,/works/OL104909W,1.000,0.850,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El payador.md,WL-WORK-2211,El payador,,莱奥波尔多·卢贡内斯,Lugones,,,CANDIDATE,1916,T4,LOW,El payador,Leopoldo Lugones,/works/OL764575W,1.000,0.636,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,,贝尼托·林奇,Lynch,,,CANDIDATE,1930,T4,LOW,El romance de un gaucho,Benito Lynch,/works/OL91079W,1.000,0.625,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Eldorado.md,WL-WORK-2215,Eldorado,,奥希兹男爵夫人,Baroness Orczy,,,CANDIDATE,2010,T6,LOW,Eldorado,Emma Orczy,/works/OL44538780W,1.000,0.545,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Fausto.md,WL-WORK-2225,Fausto,,埃斯塔尼斯劳·德尔·坎波,del Campo的,,,NO_MATCH,,,,,,,,,no result with first_publish_year
