tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,lifespan_status,author_birth_year,author_death_year,lifespan_proven_t,lifespan_reason
P2_EXTERNAL_MATCH_FRIENDLY,1914 and Other Poems.md,WL-WORK-1931,1914 and Other Poems,,鲁珀特·布鲁克,Rupert Brooke,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1916,T4,1916,T4,1914 and other poems,Rupert Brooke,/works/OL42504199W,2,1916,1941,2.000,SAFE_T,T4,1916,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1887,1915,T4,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,A Long Way Gone.md,WL-WORK-1935,A Long Way Gone,,伊斯梅尔·比亚,Ishmael Beah,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,2007,T6,2007,T6,A Long Way Gone,Ishmael Beah,/works/OL8034119W,5,2007,2021,2.000,SAFE_T,T6,2007,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1980,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,A New Voyage Round the World.md,WL-WORK-0490,A New Voyage Round the World,,威廉·丹皮尔,William Dampier,,,batch1_source_refs;batch6_source_refs,WL-TOPIC-G45-ADVENTURE;WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,STABLE_T,1697,T2,1697,T2,A new voyage round the world,William Dampier,/works/OL39466557W,2,1697,1699,2.000,SAFE_T,T2,1697,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1652,1715,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,A Woman's Journey Round the World.md,WL-WORK-1345,A Woman's Journey Round the World,,伊达·普费弗尔,Ida Pfeiffer,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1852,T3,1852,T3,A Woman's Journey Round the World,Ida Pfeiffer,/works/OL910375W,5,1852,2007,2.000,SAFE_T,T3,1852,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1797,1858,T3,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Anton Reiser.md,WL-WORK-0915,Anton Reiser,,卡尔·菲利普·莫里茨,Karl Philipp Moritz,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1785,T2,1785,T2,Anton Reiser,Karl Philipp Moritz,/works/OL38766286W,5,1785,1960,2.000,SAFE_T,T2,1785,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1756,1793,T2,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Beach Read.md,WL-WORK-1944,Beach Read,,埃米莉·亨利,Emily Henry,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2020,T6,2020,T6,Beach Read,Emily Henry,/works/OL20734329W,5,2020,2024,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1991,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Book Lovers.md,WL-WORK-1949,Book Lovers,,埃米莉·亨利,Emily Henry,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2022,T6,2022,T6,Book Lovers,Emily Henry,/works/OL24801992W,3,2022,2024,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1991,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Boyfriend Material.md,WL-WORK-1950,Boyfriend Material,,亚历克西斯·霍尔,Alexis Hall,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2020,T6,2020,T6,Boyfriend Material,Alexis Hall,/works/OL20840329W,6,2020,2026,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1980,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Certain Dark Things.md,WL-WORK-0495,Certain Dark Things,,西尔维娅·莫雷诺-加西亚,Silvia Moreno-Garcia,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2016,T6,2016,T6,Certain Dark Things,Silvia Moreno-Garcia,/works/OL20039652W,3,2016,2022,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1981,,T6,author possible composition interval lies wholly inside candidate T
P2_EXTERNAL_MATCH_FRIENDLY,Dark Lover.md,WL-WORK-1952,Dark Lover,,J.R.沃德,J.R. Ward,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2005,T6,2005,T6,Dark Lover,J. R. Ward,/works/OL5091273W,9,2005,2015,2.000,SAFE_T,T6,2005,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,SAFE_T_LIFESPAN_RANGE,1969,,T6,author possible composition interval lies wholly inside candidate T
