tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_status,author_only_proven_t,author_active_start,author_active_end,author_match_name,author_match_score,author_birth_year,author_death_year,author_key
P2_EXTERNAL_MATCH_FRIENDLY,A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1982,T6,1982,T6,A boy's own story,Edmund White,/works/OL119209W,11,1982,2016,2.000,SAFE_T,T6,1982,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1955-2025:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1893,T4,1893,T4,A gentleman of France,Stanley John Weymann,/works/OL6697779W,28,1893,2022,1.824,SAFE_T,T4,1893,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1879,T3,1879,T3,A lady's life in the Rocky Mountains,Isabella L. Bird,/works/OL1077887W,14,1879,2003,1.929,SAFE_T,T3,1879,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1846-1904:T3-T4,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2018,T6,2018,T6,A princess in theory,Alyssa cole,/works/OL19737100W,1,2018,2018,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1977,T5,1977,T5,A rumor of war,Philip Caputo,/works/OL82000W,16,1977,2020,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1956-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,A Time of Gifts.md,WL-WORK-1344,A Time of Gifts,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1977,T5,1977,T5,A Time of Gifts,Patrick Leigh Fermor,/works/OL3583229W,17,1977,2021,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1930-2011:T4-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2013,T6,2013,T6,Almanac of the Dead,Leslie Marmon Silko,/works/OL25368480W,1,2013,2013,2.000,SAFE_T,T6,2013,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1963-2026:T5-T6,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2020,T6,2020,T6,Always Only You,Chloe Liese,/works/OL27591343W,2,2020,2023,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,America Is in the Heart.md,WL-WORK-0914,America Is in the Heart,,卡洛斯·布洛桑,Carlos Bulosan,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1946,T5,1946,T5,America is in the heart,Carlos Bulosan,/works/OL1622940W,4,1946,2004,2.000,SAFE_T,T5,1946,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,,,,,,,,
P2_EXTERNAL_MATCH_FRIENDLY,American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,,batch3_source_refs,WL-TOPIC-G1-MYTH,STABLE_T,1997,T6,1997,T6,American Indian Myths and Legends,Richard Erdoes; Alfonso Ortiz,/works/OL20993081W,2,1997,1999,2.000,SAFE_T,T6,1997,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,MULTI_OR_EMPTY,,,,,,,,
