tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_reason,residual_bucket,gb_status,gb_error
P2_EXTERNAL_MATCH_FRIENDLY,Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1962,T5,1962,T5,Banalata Sen,Jibanananda Das,/works/OL333397W,2,1962,2000,2.000,SAFE_T,T5,1962,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1914-1954:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1995,T6,1995,T6,Beirut blues,Ḥanān Shaykh,/works/OL1865813W,2,1995,1996,1.889,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1960-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1977,T5,1977,T5,A rumor of war,Philip Caputo,/works/OL82000W,16,1977,2020,2.000,SAFE_T,T5,1977,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1956-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,1986,T6,1986,T6,Between the Woods and the Water,Patrick Leigh Fermor,/works/OL3583226W,13,1986,2021,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1930-2011:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Big Rock Candy Mountain.md,WL-WORK-2171,Big Rock Candy Mountain,,华莱士·斯特格纳,Wallace Stegner,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2013,T6,2013,T6,Big Rock Candy Mountain,Wallace Stegner,/works/OL28345359W,1,2013,2013,2.000,SAFE_T,T6,2013,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1924-1993:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Borderlands ／ La Frontera.md,WL-WORK-2175,Borderlands / La Frontera,,格洛丽亚·安扎尔杜亚,Gloria Anzaldúa,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1987,T6,1987,T6,Borderlands/La Frontera,Gloria Anzaldúa,/works/OL61326W,8,1987,2022,2.000,SAFE_T,T6,1987,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1957-2004:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Buffalo Wagons.md,WL-WORK-2177,Buffalo Wagons,,埃尔默·凯尔顿,Elmer Kelton,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1956,T5,1956,T5,Buffalo Wagons,Elmer Kelton,/works/OL43023900W,2,1956,1957,2.000,SAFE_T,T5,1956,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1941-2026:T4-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Bugles in the Afternoon.md,WL-WORK-2178,Bugles in the Afternoon,,欧内斯特·海科克斯,Ernest Haycox,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1944,T4,1944,T4,Bugles in the afternoon,Ernest Haycox,/works/OL14848325W,8,1944,2003,2.000,SAFE_T,T4,1944,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1914-1950:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,STABLE_T,1925,T4,1925,T4,Color,Countee Cullen,/works/OL2836099W,2,1925,1969,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1918-1946:T4-T5,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1986,T6,1986,T6,Dead in the West,Joe R. Lansdale,/works/OL54770W,2,1986,1994,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,ACTIVE_RANGE_SPANS_T:1966-2026:T5-T6,AUTHOR_RANGE_SPANS_T,API_ERROR,HTTPError
