tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason,author_only_reason,residual_bucket,mad_status
P2_EXTERNAL_MATCH_FRIENDLY,Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2020,T6,2020,T6,Always Only You,Chloe Liese,/works/OL27591343W,2,2020,2023,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2018,T6,2018,T6,Ayesha At Last,Uzma Jalaluddin,/works/OL20163357W,2,2018,2019,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2018,T6,2018,T6,A princess in theory,Alyssa cole,/works/OL19737100W,1,2018,2018,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2016,T6,2016,T6,Bar-20,Clarence E. Mulford,/works/OL40167007W,3,2016,2018,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2022,T6,2022,T6,Before I Let Go,Kennedy Ryan,/works/OL27850288W,3,2022,2024,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2018,T6,2018,T6,Before she sleeps,Bina Shah,/works/OL19751027W,3,2018,2020,2.000,SAFE_T,T6,2018,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,1893,T4,1893,T4,A gentleman of France,Stanley John Weymann,/works/OL6697779W,28,1893,2022,1.824,SAFE_T,T4,1893,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2004,T6,2004,T6,Bet me,Jennifer Crusie,/works/OL15829432W,1,2004,2004,2.000,SAFE_T,T6,2004,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1995,T6,1995,T6,Auschwitz and after,Charlotte Delbo,/works/OL2398922W,1,1995,1995,2.000,SAFE_T,T6,1995,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1925,T4,1925,T4,Bread givers,Anzia Yezierska,/works/OL14866180W,5,1925,2003,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,1973,T5,1973,T5,Burnt offerings,Robert Marasco,/works/OL6562613W,5,1973,1993,2.000,SAFE_T,T5,1973,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1910,T4,1910,T4,Cancioneiro guasca,J. Simões Lopes Neto,/works/OL12155895W,3,1910,1999,1.944,SAFE_T,T4,1910,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1952,T5,1952,T5,Casos do Romualdo,J. Simões Lopes Neto,/works/OL3206193W,2,1952,1992,1.944,SAFE_T,T5,1952,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,STABLE_T,2016,T6,2016,T6,Count Hannibal,Stanley . Weyman,/works/OL41401873W,1,2016,2016,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1983,T6,1983,T6,Contos gauchescos,J. Simões Lopes Neto,/works/OL3206195W,5,1983,2000,1.944,SAFE_T,T6,1983,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1925,T4,1925,T4,Cowboy Songs and other frontier ballads,John A. Lomax,/works/OL43750291W,1,1925,1925,2.000,SAFE_T,T4,1925,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL,STABLE_T,1991,T6,1991,T6,Cracking India,Bapsi Sidhwa,/works/OL3935996W,5,1991,2010,2.000,SAFE_T,T6,1991,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,STABLE_T,2007,T6,2007,T6,"Dark continent, my black arse",Sihle Khumalo,/works/OL13767935W,1,2007,2007,2.000,SAFE_T,T6,2007,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL,STABLE_T,2001,T6,2001,T6,Dark fire,C. J. Sansom,/works/OL17719162W,6,2001,2012,2.000,SAFE_T,T6,2001,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Delilah Green Doesn't Care.md,WL-WORK-1953,Delilah Green Doesn't Care,,阿什莉·赫林·布莱克,Ashley Herring Blake,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2022,T6,2022,T6,Delilah Green Doesn't Care,Ashley Herring Blake,/works/OL25917284W,1,2022,2022,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Delirium.md,WL-WORK-0922,Delirium,,劳伦·奥利弗,Lauren Oliver,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2011,T6,2011,T6,Delirium,Lauren Oliver,/works/OL27432616W,3,2011,2013,2.000,SAFE_T,T6,2011,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Dungeon Crawler Carl.md,WL-WORK-0499,Dungeon Crawler Carl,,马特·丁尼曼,Matt Dinniman,,,batch1_source_refs,WL-TOPIC-G45-FANTASY,STABLE_T,2020,T6,2020,T6,Dungeon Crawler Carl,Matt Dinniman,/works/OL24593432W,5,2020,2026,2.000,SAFE_T,T6,2020,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,El Zarco.md,WL-WORK-2214,El Zarco,,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,Ignacio Manuel Altamirano,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1933,T4,1933,T4,El Zarco,Ignacio Manuel Altamirano,/works/OL2100520W,14,1933,2005,2.000,SAFE_T,T4,1933,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Erec.md,WL-WORK-2218,Erec,,哈特曼·冯·奥埃,Hartmann von Aue,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,STABLE_T,1871,T3,1871,T3,Erec,Hartmann von Aue,/works/OL34614544W,6,1871,2005,2.000,SAFE_T,T3,1871,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Gnomon.md,WL-WORK-0928,Gnomon,,尼克·哈卡维,Nick Harkaway,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2017,T6,2017,T6,Gnomon,Nick Harkaway,/works/OL20073146W,2,2017,2018,2.000,SAFE_T,T6,2017,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,In Parenthesis.md,WL-WORK-1968,In Parenthesis,,戴维·琼斯,David Jones,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,1961,T5,1961,T5,in parenthesis,david jones ,/works/OL43232660W,1,1961,1961,2.000,SAFE_T,T5,1961,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Fools Crow.md,WL-WORK-0926,Fools Crow,,詹姆斯·韦尔奇,James Welch,,,batch2_source_refs;batch6_source_refs,WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1986,T6,1986,T6,Fools crow,James Welch,/works/OL11377485W,3,1986,1995,2.000,SAFE_T,T6,1986,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Inland.md,WL-WORK-2248,Inland,,特娅·奥布雷赫特,Téa Obreht,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,2016,T6,2016,T6,Inland,Téa Obreht,/works/OL24223033W,3,2016,2020,2.000,SAFE_T,T6,2016,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Legendary Tales of the Australian Aborigines.md,WL-WORK-1359,Legendary Tales of the Australian Aborigines,,戴维·乌奈庞,David Unaipon,,,batch3_source_refs,WL-TOPIC-G1-MYTH,STABLE_T,2001,T6,2001,T6,Legendary tales of the Australian aborigines,David Unaipon,/works/OL12027653W,1,2001,2001,2.000,SAFE_T,T6,2001,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Lendas do Sul.md,WL-WORK-2271,Lendas do Sul,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,STABLE_T,1953,T5,1953,T5,Lendas do Sul,J. Simões Lopes Neto,/works/OL3206194W,2,1953,1991,1.944,SAFE_T,T5,1953,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Leila.md,WL-WORK-0933,Leila,,普拉亚格·阿克巴尔,Prayaag Akbar,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA,STABLE_T,2017,T6,2017,T6,Leila,Prayaag Akbar,/works/OL17845877W,2,2017,2019,2.000,SAFE_T,T6,2017,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Los bandidos de Río Frío.md,WL-WORK-2276,Los bandidos de Río Frío,,曼努埃尔·派诺,Manuel Payno,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,STABLE_T,1959,T5,1959,T5,Los bandidos de Rio Frio,Manuel Payno,/works/OL10443926W,1,1959,1959,2.000,SAFE_T,T5,1959,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Manhunt.md,WL-WORK-0509,Manhunt,,格蕾琴·费尔克-马丁,Gretchen Felker-Martin,,,batch1_source_refs,WL-TOPIC-G45-HORROR,STABLE_T,2022,T6,2022,T6,Manhunt,Gretchen Felker-Martin,/works/OL24627204W,1,2022,2022,2.000,SAFE_T,T6,2022,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Malaeska.md,WL-WORK-2280,Malaeska,,安·S.斯蒂芬斯,Ann S. Stephens,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1929,T4,1929,T4,Malaeska,Ann S. Stephens,/works/OL8505079W,3,1929,2015,2.000,SAFE_T,T4,1929,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,No-No Boy.md,WL-WORK-0937,No-No Boy,,约翰·冈田,John Okada,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,STABLE_T,1957,T5,1957,T5,No-no boy,John Okada,/works/OL6575973W,7,1957,2019,2.000,SAFE_T,T5,1957,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Old Jules.md,WL-WORK-2293,Old Jules,,玛丽·桑多兹,Mari Sandoz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,STABLE_T,1935,T4,1935,T4,Old Jules,Mari Sandoz,/works/OL3266668W,7,1935,2005,2.000,SAFE_T,T4,1935,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Outlawed.md,WL-WORK-2297,Outlawed,,安娜·诺斯,Anna North,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN;WL-TOPIC-Q15-OUTLAW,STABLE_T,2021,T6,2021,T6,Outlawed,Anna North,/works/OL21914114W,2,2021,2022,2.000,SAFE_T,T6,2021,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,On Stranger Tides.md,WL-WORK-2294,On Stranger Tides,,蒂姆·鲍尔斯,Tim Powers,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,STABLE_T,1987,T6,1987,T6,On stranger tides,Tim Powers,/works/OL84109W,3,1987,2006,2.000,SAFE_T,T6,1987,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Polynesian Mythology.md,WL-WORK-1367,Polynesian Mythology,,乔治·格雷,George Grey,,,batch3_source_refs,WL-TOPIC-G1-MYTH,STABLE_T,1982,T6,1982,T6,Polynesian Mythology,George Grey,/works/OL8524112W,2,1982,2020,2.000,SAFE_T,T6,1982,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Radiance.md,WL-WORK-1976,Radiance,,格蕾丝·德雷文,Grace Draven,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2015,T6,2015,T6,Radiance,Grace Draven,/works/OL28419451W,1,2015,2015,2.000,SAFE_T,T6,2015,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,"Red, White & Royal Blue.md",WL-WORK-1977,"Red, White & Royal Blue",,凯西·麦奎斯顿,Casey McQuiston,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,STABLE_T,2019,T6,2019,T6,"Red, White & Royal Blue",Casey McQuiston,/works/OL20090688W,5,2019,2023,2.000,SAFE_T,T6,2019,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
P2_EXTERNAL_MATCH_FRIENDLY,Redeployment.md,WL-WORK-1978,Redeployment,,菲尔·克莱,Phil Klay,,,batch5_source_refs,WL-TOPIC-Q6-WAR,STABLE_T,2014,T6,2014,T6,Redeployment,Phil Klay,/works/OL17094207W,1,2014,2014,2.000,SAFE_T,T6,2014,强标题+作者匹配；最早版次年份与 first_publish_year 落在同一 T,NO_BIRTH,AUTHOR_DATE_MISSING,REVIEW_NO_STRONG_WORK_AUTHOR_DATE
