file,id,title,author,refs,source_years,status,chosen_year,chosen_t,evidence
A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,Sonali Dev,爱情书单.md:1260,,NO_SOURCE_YEAR,,,
A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,José Pacheco,侠盗书单.md:1333,,NO_SOURCE_YEAR,,,
A General History of the Pyrates.md,WL-WORK-2152,A General History of the Pyrates,Captain Charles Johnson,海盗书单.md:1333 ; 海盗书单.md:247 ; 海盗书单.md:757,,NO_SOURCE_YEAR,,,
A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,Paul Tremblay,恐怖书单.md:1292 ; 恐怖书单.md:928,,NO_SOURCE_YEAR,,,
A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,Kresley Cole,爱情书单.md:1137,,NO_SOURCE_YEAR,,,
A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,Geoffroi de Charny,骑士书单.md:1016 ; 骑士书单.md:1873,,NO_SOURCE_YEAR,,,
A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,Dorothy M. Johnson,西部书单.md:832,,NO_SOURCE_YEAR,,,
A Small Place.md,WL-WORK-1343,A Small Place,Jamaica Kincaid,旅行书单.md:1377 ; 旅行书单.md:2101 ; 旅行书单.md:2142,,NO_SOURCE_YEAR,,,
Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,Kiernan,恐怖书单.md:888,,NO_SOURCE_YEAR,,,
Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,Vandana Singh,,,NO_SOURCE_YEAR,,,
An African in Greenland.md,WL-WORK-1347,An African in Greenland,Kpomassie,旅行书单.md:1256 ; 旅行书单.md:2099 ; 旅行书单.md:2141,,NO_SOURCE_YEAR,,,
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",Rudolfo Anaya,西部书单.md:1016 ; 西部书单.md:2308,,NO_SOURCE_YEAR,,,
Cangaceiros.md,WL-WORK-2181,Cangaceiros,巴西,侠盗书单.md:1345 ; 侠盗书单.md:2055,,NO_SOURCE_YEAR,,,
Ceremony.md,WL-WORK-0918,Ceremony,Leslie Marmon Silko,历史书单.md:825 ; 历史书单.md:827 ; 西部书单.md:1800 ; 西部书单.md:2301 ; 西部书单.md:901,,NO_SOURCE_YEAR,,,
"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",Afro-Latin史诗性书写,拉美书单.md:886,,NO_SOURCE_YEAR,,,
Cielitos.md,WL-WORK-2184,Cielitos,Hidalgo,Gaucho书单.md:154 ; Gaucho书单.md:1707,,NO_SOURCE_YEAR,,,
Cockfight.md,WL-WORK-0496,Cockfight,María Fernanda Ampuero,恐怖书单.md:1098,,NO_SOURCE_YEAR,,,
Cogewea.md,WL-WORK-2187,Cogewea,Mourning Dove,西部书单.md:2299,,NO_SOURCE_YEAR,,,
Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,Max Brand,西部书单.md:510,,NO_SOURCE_YEAR,,,
Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,Hidalgo,Gaucho书单.md:156 ; Gaucho书单.md:1708,,NO_SOURCE_YEAR,,,
El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,Fariña,Gaucho书单.md:1760 ; Gaucho书单.md:62 ; Gaucho书单.md:944,,NO_SOURCE_YEAR,,,
El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,Lynch,Gaucho书单.md:1742 ; Gaucho书单.md:733,,NO_SOURCE_YEAR,,,
El payador.md,WL-WORK-2211,El payador,Lugones,Gaucho书单.md:1737 ; Gaucho书单.md:626,,NO_SOURCE_YEAR,,,
El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,Lynch,Gaucho书单.md:1743 ; Gaucho书单.md:735,,NO_SOURCE_YEAR,,,
Eldorado.md,WL-WORK-2215,Eldorado,Baroness Orczy,剑客书单.md:1930 ; 剑客书单.md:831,,NO_SOURCE_YEAR,,,
Facundo／ Civilization and Barbarism.md,WL-WORK-2224,Facundo: Civilization and Barbarism,Domingo Faustino Sarmiento,Gaucho书单.md:124,,NO_SOURCE_YEAR,,,
Fausto.md,WL-WORK-2225,Fausto,del Campo的,Gaucho书单.md:1711 ; Gaucho书单.md:261 ; Gaucho书单.md:279,,NO_SOURCE_YEAR,,,
