tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,ol_year,ol_t,ol_title,ol_authors,wd_status,resolution_status,chosen_t,canonical_year_candidate,year_action,resolution_reason,wd_error
P2_EXTERNAL_MATCH_FRIENDLY,1914 and Other Poems.md,WL-WORK-1931,1914 and Other Poems,,鲁珀特·布鲁克,Rupert Brooke,,,batch5_source_refs,WL-TOPIC-Q6-WAR,1916,T4,1914 and other poems,Rupert Brooke,NO_RELIABLE_WORK_MATCH,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,
P2_EXTERNAL_MATCH_FRIENDLY,A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,,,,,NO_MATCH,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,
P2_EXTERNAL_MATCH_FRIENDLY,A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN,1982,T6,A boy's own story,Edmund White,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,,,,,NO_MATCH,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,
P2_EXTERNAL_MATCH_FRIENDLY,A General History of the Pyrates.md,WL-WORK-2152,A General History of the Pyrates,,查尔斯·约翰逊船长,Captain Charles Johnson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,1925,T4,A General History of the Pyrates,Captain Charles Johnson;Daniel Defoe;Nathaniel Mist;Woodes Rogers;John Atkins;Philip Gosse,NO_RELIABLE_WORK_MATCH,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,
P2_EXTERNAL_MATCH_FRIENDLY,A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,,,A gentleman of France,Stanley John Weymann,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,,batch1_source_refs,WL-TOPIC-G45-HORROR,,,A Head Full of Ghosts: A Novel,Paul Tremblay,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,2011,T6,"A Hunger Like No Other, 2",Kresley Cole;Robert Petkoff,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,,,A knight's own book of chivalry : Geoffroi De Charny,Geoffroi de Charny,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,1879,T3,A lady's life in the Rocky Mountains,Isabella L. Bird,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
