file,id,title,title_original,author,author_original,ol_year,ol_title,ol_author,ol_key,suggested_t,publication_year,year_source_1,confidence,review_status,notes
A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,2018,A princess in theory,Alyssa cole,/works/OL19737100W,T6,2018,OpenLibrary:/works/OL19737100W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,1977,A rumor of war,Philip Caputo,/works/OL82000W,T5,1977,OpenLibrary:/works/OL82000W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,1988,A small place,Jamaica Kincaid ; Robin Miles,/works/OL2664685W,T6,1988,OpenLibrary:/works/OL2664685W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,2020,Always Only You,Chloe Liese,/works/OL27591343W,T6,2020,OpenLibrary:/works/OL27591343W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,1997,Auschwitz and after,Charlotte Delbo,/works/OL20055779W,T6,1997,OpenLibrary:/works/OL20055779W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,2018,Ayesha At Last,Uzma Jalaluddin,/works/OL20163357W,T6,2018,OpenLibrary:/works/OL20163357W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,1962,Banalata Sen,Jibanananda Das,/works/OL333397W,T5,1962,OpenLibrary:/works/OL333397W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,1907,Bar-20,Clarence Edward Mulford ; Robert Banis,/works/OL3194212W,T4,1907,OpenLibrary:/works/OL3194212W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,2022,Before I Let Go,Kennedy Ryan,/works/OL27850288W,T6,2022,OpenLibrary:/works/OL27850288W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,2018,Before she sleeps,Bina Shah,/works/OL19751027W,T6,2018,OpenLibrary:/works/OL19751027W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,1995,Beirut blues,Ḥanān Shaykh,/works/OL1865813W,T6,1995,OpenLibrary:/works/OL1865813W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,2004,Bet me,Jennifer Crusie,/works/OL15829432W,T6,2004,OpenLibrary:/works/OL15829432W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,1986,Between the Woods and the Water,Patrick Leigh Fermor,/works/OL3583226W,T6,1986,OpenLibrary:/works/OL3583226W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,1972,"Bless Me, Ultima",Rudolfo A. Anaya ; Rudolfo Anaya ; Ruben Anaya ; Rudolfo A Anaya,/works/OL152076W,T5,1972,OpenLibrary:/works/OL152076W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,1925,Bread givers,Anzia Yezierska,/works/OL14866180W,T4,1925,OpenLibrary:/works/OL14866180W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,1973,Burnt offerings,Robert Marasco,/works/OL6562613W,T5,1973,OpenLibrary:/works/OL6562613W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,1960,Butcher's Crossing,John Williams,/works/OL3511457W,T5,1960,OpenLibrary:/works/OL3511457W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1910,Cancioneiro guasca,J. Simões Lopes Neto,/works/OL12155895W,T4,1910,OpenLibrary:/works/OL12155895W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1952,Casos do Romualdo,J. Simões Lopes Neto,/works/OL3206193W,T5,1952,OpenLibrary:/works/OL3206193W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,1969,Color,Countee Cullen,/works/OL25161876W,T5,1969,OpenLibrary:/works/OL25161876W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,1983,Contos gauchescos,J. Simões Lopes Neto,/works/OL3206195W,T6,1983,OpenLibrary:/works/OL3206195W,REVIEW,REPRINT_RISK_REVIEW,OpenLibrary only; reprint contamination risk
