file,id,title,title_original,author,author_original,current_year,topics,topic_links,source_refs,source_ref_keys,canon_id,awards,verification_status,bibliography_status,publication_year,publication_year_type,year_source_1,year_source_2,source_agreement,confidence,suggested_t,review_status,notes
A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.4 欧洲剑客/00 欧洲剑客文学|欧洲剑客文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Gest of Robyn Hode.md,WL-WORK-2154,A Gest of Robyn Hode,,佚名,,,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.7 侠盗/00 侠盗文学|侠盗文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,WL-TOPIC-G45-HORROR,[[../30 专题/QT4 恐怖与哥特/00 恐怖文学|恐怖文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,[[../30 专题/QT8 英雄、边疆与法外者文化传统/00 世界武人、边疆与法外英雄文学|世界武人、边疆与法外英雄文学]];[[../30 专题/QT8.2 欧洲骑士/00 欧洲骑士文学|欧洲骑士文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,WL-TOPIC-Q2-LOVE,[[../30 专题/QH2.1 爱情与欲望/00 爱情与欲望|爱情与欲望]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,WL-TOPIC-Q6-WAR,[[../30 专题/QH6 战争、暴力与创伤/00 战争文学|战争文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,WL-TOPIC-G7-TRAVEL,[[../30 专题/QT14 旅行与游记/00 旅行文学|旅行文学]],,,,,自动通过,metadata_pending,,,,,,,,UNRESEARCHED,
