获奖年份,奖项类别,作品原名,作者（MWA官方署名）,出版单位（MWA官方数据库记载）,备注,官方来源URL
1954,Best Novel,Beat Not the Bones,Charlotte Jay,Harper,,https://edgarawards.com/category-list-best-novel/
1955,Best Novel,The Long Goodbye,Raymond Chandler,Houghton Mifflin,,https://edgarawards.com/category-list-best-novel/
1956,Best Novel,Beast in View,Margaret Millar,Random House,,https://edgarawards.com/category-list-best-novel/
1957,Best Novel,A Dram of Poison,Charlotte Armstrong,Coward-McCann,,https://edgarawards.com/category-list-best-novel/
1958,Best Novel,Room to Swing,Ed Lacy,Harper,Ed Lacy 为 Leonard Zinberg 的笔名,https://edgarawards.com/category-list-best-novel/
1959,Best Novel,The Eighth Circle,Stanley Ellin,Random House,,https://edgarawards.com/category-list-best-novel/
1960,Best Novel,The Hours Before Dawn,Celia Fremlin,Lippincott,,https://edgarawards.com/category-list-best-novel/
1961,Best Novel,The Progress of a Crime,Julian Symons,Harper,,https://edgarawards.com/category-list-best-novel/
1962,Best Novel,Gideon's Fire,J.J. Marric,Harper,J.J. Marric 为 John Creasey 的笔名,https://edgarawards.com/category-list-best-novel/
1963,Best Novel,Death and the Joyful Woman,Ellis Peters,Doubleday,Ellis Peters 为 Edith Pargeter 的笔名,https://edgarawards.com/category-list-best-novel/
1964,Best Novel,The Light of Day,Eric Ambler,Knopf,,https://edgarawards.com/category-list-best-novel/
1965,Best Novel,The Spy Who Came in from the Cold,John le Carre,Coward-McCann,,https://edgarawards.com/category-list-best-novel/
1966,Best Novel,The Quiller Memorandum,Adam Hall,Simon & Schuster,Adam Hall 为 Elleston Trevor 的笔名,https://edgarawards.com/category-list-best-novel/
1967,Best Novel,The King of the Rainy Country,Nicolas Freeling,Harper & Row,,https://edgarawards.com/category-list-best-novel/
1968,Best Novel,God Save the Mark,Donald E. Westlake,Random House,,https://edgarawards.com/category-list-best-novel/
1969,Best Novel,A Case of Need,Jeffery Hudson,World,Jeffery Hudson 为 Michael Crichton 的笔名；作者字段按 MWA 官方获奖署名保留,https://edgarawards.com/category-list-best-novel/
1970,Best Novel,Forfeit,Dick Francis,Harper & Row,,https://edgarawards.com/category-list-best-novel/
1971,Best Novel,The Laughing Policeman,"Maj Sjowall, Per Wahloo",Pantheon,作者姓名按 MWA 官方数据库拼写保留,https://edgarawards.com/category-list-best-novel/
1972,Best Novel,The Day of the Jackal,Frederick Forsyth,Viking,,https://edgarawards.com/category-list-best-novel/
1973,Best Novel,The Lingala Code,Warren Kiefer,Random House,,https://edgarawards.com/category-list-best-novel/
1974,Best Novel,Dance Hall of the Dead,Tony Hillerman,Harper & Row,,https://edgarawards.com/category-list-best-novel/
1975,Best Novel,Peter's Pence,Jon Cleary,Wm. Morrow,,https://edgarawards.com/category-list-best-novel/
1976,Best Novel,Hopscotch,Brian Garfield,M. Evans,,https://edgarawards.com/category-list-best-novel/
1977,Best Novel,Promised Land,Robert B. Parker,Houghton Mifflin,,https://edgarawards.com/category-list-best-novel/
1978,Best Novel,Catch Me: Kill Me,William H. Hallahan,Bobbs-Merrill,,https://edgarawards.com/category-list-best-novel/
1979,Best Novel,The Eye of the Needle,Ken Follett,Arbor House,,https://edgarawards.com/category-list-best-novel/
1980,Best Novel,The Rheingold Route,Arthur Maling,Harper & Row,,https://edgarawards.com/category-list-best-novel/
1981,Best Novel,Whip Hand,Dick Francis,Harper & Row,,https://edgarawards.com/category-list-best-novel/
1982,Best Novel,Peregrine,William Bayer,Congdon & Lattes,,https://edgarawards.com/category-list-best-novel/
1983,Best Novel,Billingsgate Shoal,Rick Boyer,Houghton Mifflin,,https://edgarawards.com/category-list-best-novel/
1984,Best Novel,La Brava,Elmore Leonard,Arbor House,,https://edgarawards.com/category-list-best-novel/
1985,Best Novel,Briar Patch,Ross Thomas,Simon & Schuster,,https://edgarawards.com/category-list-best-novel/
1986,Best Novel,The Suspect,L.R. Wright,Viking,,https://edgarawards.com/category-list-best-novel/
1987,Best Novel,A Dark-Adapted Eye,Barbara Vine,Bantam,Barbara Vine 为 Ruth Rendell 的笔名,https://edgarawards.com/category-list-best-novel/
1988,Best Novel,Old Bones,Aaron Elkins,Mysterious Press,,https://edgarawards.com/category-list-best-novel/
1989,Best Novel,A Cold Red Sunrise,Stuart M. Kaminsky,Scribners,,https://edgarawards.com/category-list-best-novel/
1990,Best Novel,Black Cherry Blues,James Lee Burke,"Little, Brown",,https://edgarawards.com/category-list-best-novel/
1991,Best Novel,New Orleans Mourning,Julie Smith,St. Martin's Press,,https://edgarawards.com/category-list-best-novel/
1992,Best Novel,A Dance at the Slaughterhouse,Lawrence Block,Wm. Morrow,,https://edgarawards.com/category-list-best-novel/
1993,Best Novel,Bootlegger's Daughter,Margaret Maron,Mysterious Press,,https://edgarawards.com/category-list-best-novel/
1994,Best Novel,The Sculptress,Minette Walters,St. Martin's Press,,https://edgarawards.com/category-list-best-novel/
1995,Best Novel,The Red Scream,Mary Willis Walker,Doubleday,,https://edgarawards.com/category-list-best-novel/
1996,Best Novel,Come to Grief,Dick Francis,Putnam,,https://edgarawards.com/category-list-best-novel/
1997,Best Novel,The Chatham School Affair,Thomas H. Cook,Bantam,,https://edgarawards.com/category-list-best-novel/
1998,Best Novel,Cimarron Rose,James Lee Burke,Hyperion,,https://edgarawards.com/category-list-best-novel/
1999,Best Novel,Mr. White's Confession,Robert Clark,Picador USA,,https://edgarawards.com/category-list-best-novel/
2000,Best Novel,Bones,Jan Burke,Simon & Schuster,,https://edgarawards.com/category-list-best-novel/
2001,Best Novel,The Bottoms,Joe R. Lansdale,Mysterious Press,,https://edgarawards.com/category-list-best-novel/
2002,Best Novel,Silent Joe,T. Jefferson Parker,Hyperion,,https://edgarawards.com/category-list-best-novel/
2003,Best Novel,Winter and Night,S.J. Rozan,St. Martin's Minotaur,,https://edgarawards.com/category-list-best-novel/
2004,Best Novel,Resurrection Men,Ian Rankin,"Little, Brown",,https://edgarawards.com/category-list-best-novel/
2005,Best Novel,California Girl,T. Jefferson Parker,HarperCollins - William Morrow,,https://edgarawards.com/category-list-best-novel/
2006,Best Novel,Citizen Vince,Jess Walter,Regan Books,,https://edgarawards.com/category-list-best-novel/
2007,Best Novel,The Janissary Tree,Jason Goodwin,Sarah Crichton Books/FSG,,https://edgarawards.com/category-list-best-novel/
2008,Best Novel,Down River,John Hart,St. Martin's Minotaur,,https://edgarawards.com/category-list-best-novel/
2009,Best Novel,Blue Heaven,C.J. Box,St. Martin's Minotaur,,https://edgarawards.com/category-list-best-novel/
2010,Best Novel,The Last Child,John Hart,Minotaur Books,,https://edgarawards.com/category-list-best-novel/
2011,Best Novel,The Lock Artist,Steve Hamilton,Minotaur Books/Thomas Dunne Books,,https://edgarawards.com/category-list-best-novel/
2012,Best Novel,Gone,Mo Hayder,Grove Atlantic - Atlantic Monthly Press,,https://edgarawards.com/category-list-best-novel/
2013,Best Novel,Live by Night,Dennis Lehane,HarperCollins - William Morrow,,https://edgarawards.com/category-list-best-novel/
2014,Best Novel,Ordinary Grace,William Kent Krueger,Simon & Schuster/Atria Books,,https://edgarawards.com/category-list-best-novel/
2015,Best Novel,Mr. Mercedes,Stephen King,Simon & Schuster - Scribner,,https://edgarawards.com/category-list-best-novel/
2016,Best Novel,Let Me Die in His Footsteps,Lori Roy,Penguin Random House - Dutton,,https://edgarawards.com/category-list-best-novel/
2017,Best Novel,Before the Fall,Noah Hawley,Hachette Book Group - Grand Central Publishing,,https://edgarawards.com/category-list-best-novel/
2018,Best Novel,"Bluebird, Bluebird",Attica Locke,"Hachette Book Group - Little, Brown & Co./Mulholland Books",,https://edgarawards.com/category-list-best-novel/
2019,Best Novel,Down the River Unto the Sea,Walter Mosley,Hachette Book Group - Mulholland,,https://edgarawards.com/category-list-best-novel/
2020,Best Novel,The Stranger Diaries,Elly Griffiths,Houghton Mifflin Harcourt,,https://edgarawards.com/category-list-best-novel/
2021,Best Novel,Djinn Patrol on the Purple Line,Deepa Anappara,Penguin Random House - Random House,,https://edgarawards.com/category-list-best-novel/
2022,Best Novel,Five Decembers,James Kestrel,Hard Case Crime,James Kestrel 为 Jonathan Moore 使用的笔名,https://edgarawards.com/category-list-best-novel/
2023,Best Novel,Notes on an Execution,Danya Kukafka,HarperCollins - William Morrow,,https://edgarawards.com/category-list-best-novel/
2024,Best Novel,Flags on the Bayou,James Lee Burke,Grove Atlantic - Atlantic Monthly Press,,https://edgarawards.com/category-list-best-novel/
2025,Best Novel,The In Crowd,Charlotte Vassell,Penguin Random House - Doubleday,,https://edgarawards.com/category-list-best-novel/
2026,Best Novel,The Big Empty,Robert Crais,Penguin Random House - G.P. Putnam's Sons,,https://edgarawards.com/category-list-best-novel/
