获奖年份,当年官方奖名,奖项类型,作品原名,作者,出版单位,是否并列获奖,备注,官方来源URL
1969,Booker Prize,正式获奖,Something to Answer For,P. H. Newby,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1970,Booker Prize,正式获奖,The Elected Member,Bernice Rubens,Eyre & Spottiswoode,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1971,Booker Prize,正式获奖,In a Free State,V. S. Naipaul,Deutsch,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1972,Booker Prize,正式获奖,G.,John Berger,Weidenfeld & Nicolson,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1973,Booker Prize,正式获奖,The Siege of Krishnapur,J. G. Farrell,Weidenfeld & Nicolson,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1974,Booker Prize,正式获奖,The Conservationist,Nadine Gordimer,Jonathan Cape,是,1974年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1974,Booker Prize,正式获奖,Holiday,Stanley Middleton,Hutchinson,是,1974年并列获奖,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1975,Booker Prize,正式获奖,Heat and Dust,Ruth Prawer Jhabvala,John Murray,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1976,Booker Prize,正式获奖,Saville,David Storey,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1977,Booker Prize,正式获奖,Staying On,Paul Scott,Heinemann,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1978,Booker Prize,正式获奖,"The Sea, the Sea",Iris Murdoch,Chatto & Windus,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1979,Booker Prize,正式获奖,Offshore,Penelope Fitzgerald,Collins,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1980,Booker Prize,正式获奖,Rites of Passage,William Golding,Faber & Faber,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1981,Booker Prize,正式获奖,Midnight's Children,Salman Rushdie,Jonathan Cape,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
1982,Booker Prize,正式获奖,Schindler's Ark,Thomas Keneally,Hodder & Stoughton,否,,https://thebookerprizes.com/the-booker-library/features/full-list-of-booker-prize-winners-shortlisted-and-longlisted-authors
