获奖年份,当年官方奖项类别,作品原名,作者,出版单位（官方页面记载）,是否同年双获奖,备注,官方来源URL
1918,Novel,His Family,Ernest Poole,Macmillan,否,,https://www.pulitzer.org/prize-winners-by-category/261
1919,Novel,The Magnificent Ambersons,Booth Tarkington,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/261
1921,Novel,The Age of Innocence,Edith Wharton,Appleton,否,,https://www.pulitzer.org/prize-winners-by-category/261
1922,Novel,Alice Adams,Booth Tarkington,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/261
1923,Novel,One of Ours,Willa Cather,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/261
1924,Novel,The Able McLaughlins,Margaret Wilson,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/261
1925,Novel,So Big,Edna Ferber,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/261
1926,Novel,Arrowsmith,Sinclair Lewis,Harcourt,否,,https://www.pulitzer.org/prize-winners-by-category/261
1927,Novel,Early Autumn,Louis Bromfield,Stokes,否,,https://www.pulitzer.org/prize-winners-by-category/261
1928,Novel,The Bridge of San Luis Rey,Thornton Wilder,Boni,否,,https://www.pulitzer.org/prize-winners-by-category/261
1929,Novel,Scarlet Sister Mary,Julia Peterkin,Bobbs,否,,https://www.pulitzer.org/prize-winners-by-category/261
1930,Novel,Laughing Boy,Oliver La Farge,Houghton,否,,https://www.pulitzer.org/prize-winners-by-category/261
1931,Novel,Years of Grace,Margaret Ayer Barnes,Houghton,否,,https://www.pulitzer.org/prize-winners-by-category/261
1932,Novel,The Good Earth,Pearl S. Buck,John Day,否,,https://www.pulitzer.org/prize-winners-by-category/261
1933,Novel,The Store,T. S. Stribling,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/261
1934,Novel,Lamb in His Bosom,Caroline Miller,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/261
1935,Novel,Now in November,Josephine Winslow Johnson,Simon & Schuster,否,,https://www.pulitzer.org/prize-winners-by-category/261
1936,Novel,Honey in the Horn,Harold L. Davis,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/261
1937,Novel,Gone With the Wind,Margaret Mitchell,Macmillan,否,,https://www.pulitzer.org/prize-winners-by-category/261
1938,Novel,The Late George Apley,John Phillips Marquand,Little,否,,https://www.pulitzer.org/prize-winners-by-category/261
1939,Novel,The Yearling,Marjorie Kinnan Rawlings,Scribner,否,,https://www.pulitzer.org/prize-winners-by-category/261
1940,Novel,The Grapes of Wrath,John Steinbeck,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/261
1942,Novel,In This Our Life,Ellen Glasgow,Harcourt,否,,https://www.pulitzer.org/prize-winners-by-category/261
1943,Novel,Dragon's Teeth,Upton Sinclair,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/261
1944,Novel,Journey in the Dark,Martin Flavin,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/261
1945,Novel,A Bell for Adano,John Hersey,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/261
1947,Novel,All the King's Men,Robert Penn Warren,Harcourt,否,,https://www.pulitzer.org/prize-winners-by-category/261
1948,Fiction,Tales of the South Pacific,James A. Michener,Macmillan,否,,https://www.pulitzer.org/prize-winners-by-category/219
1949,Fiction,Guard of Honor,James Gould Cozzens,Harcourt,否,,https://www.pulitzer.org/prize-winners-by-category/219
1950,Fiction,The Way West,A. B. Guthrie Jr.,Sloane,否,,https://www.pulitzer.org/prize-winners-by-category/219
1951,Fiction,The Town,Conrad Richter,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1952,Fiction,The Caine Mutiny,Herman Wouk,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
1953,Fiction,The Old Man and the Sea,Ernest Hemingway,Scribner,否,,https://www.pulitzer.org/prize-winners-by-category/219
1955,Fiction,A Fable,William Faulkner,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
1956,Fiction,Andersonville,MacKinlay Kantor,World,否,,https://www.pulitzer.org/prize-winners-by-category/219
1958,Fiction,A Death In The Family,James Agee,"McDowell, Obolensky",否,作者去世后出版,https://www.pulitzer.org/prize-winners-by-category/219
1959,Fiction,The Travels of Jaimie McPheeters,Robert Lewis Taylor,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
1960,Fiction,Advise and Consent,Allen Drury,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
1961,Fiction,To Kill A Mockingbird,Harper Lee,Lippincott,否,,https://www.pulitzer.org/prize-winners-by-category/219
1962,Fiction,The Edge of Sadness,Edwin O'Connor,Little,否,,https://www.pulitzer.org/prize-winners-by-category/219
1963,Fiction,The Reivers,William Faulkner,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
1965,Fiction,The Keepers of the House,Shirley Ann Grau,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
1966,Fiction,Collected Stories,Katherine Anne Porter,Harcourt,否,,https://www.pulitzer.org/prize-winners-by-category/219
1967,Fiction,The Fixer,Bernard Malamud,Farrar,否,,https://www.pulitzer.org/prize-winners-by-category/219
1968,Fiction,The Confessions of Nat Turner,William Styron,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
1969,Fiction,House Made of Dawn,N. Scott Momaday,Harper,否,,https://www.pulitzer.org/prize-winners-by-category/219
1970,Fiction,Collected Stories,Jean Stafford,Farrar,否,,https://www.pulitzer.org/prize-winners-by-category/219
1972,Fiction,Angle of Repose,Wallace Stegner,Doubleday,否,,https://www.pulitzer.org/prize-winners-by-category/219
1973,Fiction,The Optimist's Daughter,Eudora Welty,Random,否,,https://www.pulitzer.org/prize-winners-by-category/219
1975,Fiction,The Killer Angels,Michael Shaara,McKay,否,,https://www.pulitzer.org/prize-winners-by-category/219
1976,Fiction,Humboldt's Gift,Saul Bellow,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/219
1978,Fiction,Elbow Room,James Alan McPherson,Atlantic Monthly Press,否,,https://www.pulitzer.org/prize-winners-by-category/219
1979,Fiction,The Stories of John Cheever,John Cheever,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1980,Fiction,The Executioner's Song,Norman Mailer,Little,否,,https://www.pulitzer.org/prize-winners-by-category/219
1981,Fiction,A Confederacy of Dunces,John Kennedy Toole,Louisiana State U. Press,否,,https://www.pulitzer.org/prize-winners-by-category/219
1982,Fiction,Rabbit Is Rich,John Updike,Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1983,Fiction,The Color Purple,Alice Walker,Harcourt Brace,否,,https://www.pulitzer.org/prize-winners-by-category/219
1984,Fiction,Ironweed,William Kennedy,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/219
1985,Fiction,Foreign Affairs,Alison Lurie,Random House,否,,https://www.pulitzer.org/prize-winners-by-category/219
1986,Fiction,Lonesome Dove,Larry McMurtry,Simon & Schuster,否,,https://www.pulitzer.org/prize-winners-by-category/219
1987,Fiction,A Summons to Memphis,Peter Taylor,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1988,Fiction,Beloved,Toni Morrison,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1989,Fiction,Breathing Lessons,Anne Tyler,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1990,Fiction,The Mambo Kings Play Songs of Love,Oscar Hijuelos,Farrar,否,,https://www.pulitzer.org/prize-winners-by-category/219
1991,Fiction,Rabbit At Rest,John Updike,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1992,Fiction,A Thousand Acres,Jane Smiley,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1993,Fiction,A Good Scent from a Strange Mountain,Robert Olen Butler,Henry Holt,否,,https://www.pulitzer.org/prize-winners-by-category/219
1994,Fiction,The Shipping News,E. Annie Proulx,Charles Scribner's Sons,否,,https://www.pulitzer.org/prize-winners-by-category/219
1995,Fiction,The Stone Diaries,Carol Shields,Viking,否,,https://www.pulitzer.org/prize-winners-by-category/219
1996,Fiction,Independence Day,Richard Ford,Alfred A. Knopf,否,,https://www.pulitzer.org/prize-winners-by-category/219
1997,Fiction,Martin Dressler: The Tale of an American Dreamer,Steven Millhauser,Crown,否,,https://www.pulitzer.org/prize-winners-by-category/219
1998,Fiction,American Pastoral,Philip Roth,Houghton Mifflin,否,,https://www.pulitzer.org/prize-winners-by-category/219
1999,Fiction,The Hours,Michael Cunningham,"Farrar, Straus & Giroux",否,,https://www.pulitzer.org/prize-winners-by-category/219
2000,Fiction,Interpreter of Maladies,Jhumpa Lahiri,Mariner Books/Houghton Mifflin,否,,https://www.pulitzer.org/prize-winners-by-category/219
