届次数字,届次,评选作品时间范围,届内序号,奖项类型,作品名称,作者,出版单位,来源URL
1,第一届,1977—1981,1,正式获奖,许茂和他的女儿们,周克芹,百花文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
1,第一届,1977—1981,2,正式获奖,东方,魏巍,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
1,第一届,1977—1981,3,正式获奖,将军吟,莫应丰,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
1,第一届,1977—1981,4,正式获奖,李自成（第二卷）,姚雪垠,中国青年出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
1,第一届,1977—1981,5,正式获奖,芙蓉镇,古华,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
1,第一届,1977—1981,6,正式获奖,冬天里的春天,李国文,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
2,第二届,1982—1984,1,正式获奖,黄河东流去,李准,北京出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
2,第二届,1982—1984,2,正式获奖,沉重的翅膀（修订本）,张洁,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
2,第二届,1982—1984,3,正式获奖,钟鼓楼,刘心武,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,1,正式获奖,平凡的世界,路遥,中国文联出版公司,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,2,正式获奖,少年天子,凌力,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,3,正式获奖,都市风流,孙力、余小惠,浙江文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,4,正式获奖,第二个太阳,刘白羽,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
