获奖年份,当年官方类别,作品原名,作者,是否并列获奖,备注,官方来源URL
1953,Best Novel,The Demolished Man,Alfred Bester,否,,https://www.thehugoawards.org/hugo-history/1953-hugo-awards/
1955,Best Novel,They’d Rather Be Right,Mark Clifton; Frank Riley,否,亦以 The Forever Machine 为人所知,https://www.thehugoawards.org/hugo-history/1955-hugo-awards/
1956,Best Novel,Double Star,Robert A. Heinlein,否,,https://www.thehugoawards.org/hugo-history/1956-hugo-awards/
1958,Best Novel or Novelette,The Big Time,Fritz Leiber,否,1958年该类别正式名称为 Best Novel or Novelette；获奖作品为长篇小说,https://www.thehugoawards.org/hugo-history/1958-hugo-awards/
1959,Best Novel,A Case of Conscience,James Blish,否,,https://www.thehugoawards.org/hugo-history/1959-hugo-awards/
1960,Best Novel,Starship Troopers,Robert A. Heinlein,否,,https://www.thehugoawards.org/hugo-history/1960-hugo-awards/
1961,Best Novel,A Canticle for Leibowitz,Walter M. Miller Jr.,否,,https://www.thehugoawards.org/hugo-history/1961-hugo-awards/
1962,Best Novel,Stranger in a Strange Land,Robert A. Heinlein,否,,https://www.thehugoawards.org/hugo-history/1962-hugo-awards/
1963,Best Novel,The Man in the High Castle,Philip K. Dick,否,,https://www.thehugoawards.org/hugo-history/1963-hugo-awards/
1964,Best Novel,Way Station,Clifford D. Simak,否,,https://www.thehugoawards.org/hugo-history/1964-hugo-awards/
1965,Best Novel,The Wanderer,Fritz Leiber,否,,https://www.thehugoawards.org/hugo-history/1965-hugo-awards/
1966,Best Novel,Dune,Frank Herbert,是,1966年并列获奖,https://www.thehugoawards.org/hugo-history/1966-hugo-awards/
1966,Best Novel,…And Call Me Conrad,Roger Zelazny,是,1966年并列获奖；后以 This Immortal 出版,https://www.thehugoawards.org/hugo-history/1966-hugo-awards/
1967,Best Novel,The Moon Is a Harsh Mistress,Robert A. Heinlein,否,,https://www.thehugoawards.org/hugo-history/1967-hugo-awards/
1968,Best Novel,Lord of Light,Roger Zelazny,否,,https://www.thehugoawards.org/hugo-history/1968-hugo-awards/
1969,Best Novel,Stand on Zanzibar,John Brunner,否,,https://www.thehugoawards.org/hugo-history/1969-hugo-awards/
1970,Best Novel,The Left Hand of Darkness,Ursula K. Le Guin,否,,https://www.thehugoawards.org/hugo-history/1970-hugo-awards/
